x,y,z,lp_x,lp_y,lp_z,hp_x,hp_y,hp_z,
-1.177292,-0.543365,-2.282135,-0.583286,-0.493708,-0.676051,-0.594006,-0.049658,-1.606084,
-0.235458,0.163010,-2.300247,-0.548503,-0.428036,-0.838471,0.313045,0.591045,-1.461776,
0.289795,0.470917,-1.829330,-0.464673,-0.338141,-0.937557,0.754468,0.809057,-0.891773,
0.470917,0.489029,-0.597702,-0.371114,-0.255424,-0.903571,0.842031,0.744453,0.305869,
0.362244,0.344131,0.307907,-0.297779,-0.195468,-0.782424,0.660022,0.539600,1.090331,
-0.271683,-0.018112,0.905609,-0.295169,-0.177733,-0.613620,0.023486,0.159620,1.519229,
-1.376526,-0.796936,1.340302,-0.403305,-0.239653,-0.418228,-0.973221,-0.557283,1.758530,
-2.028564,-1.195404,0.633926,-0.565831,-0.335228,-0.313013,-1.462734,-0.860176,0.946939,
-2.010452,-0.742599,-1.104843,-0.710293,-0.375965,-0.392196,-1.300159,-0.366634,-0.712647,
-1.376526,-0.072449,-2.300247,-0.776916,-0.345614,-0.583001,-0.599610,0.273165,-1.717246,
-0.072449,0.199234,-2.300247,-0.706469,-0.291129,-0.754726,0.634021,0.490363,-1.545522,
0.688263,0.416580,-1.122955,-0.566996,-0.220358,-0.791549,1.255259,0.636938,-0.331407,
0.724487,0.416580,-0.036224,-0.437848,-0.156664,-0.716016,1.162335,0.573244,0.679792,
0.199234,0.108673,1.050507,-0.374140,-0.130130,-0.539364,0.573374,0.238803,1.589870,
-1.050507,-0.416580,1.285965,-0.441776,-0.158775,-0.356831,-0.608730,-0.257805,1.642796,
-1.774994,-0.796936,1.104843,-0.575098,-0.222591,-0.210664,-1.199896,-0.574345,1.315507,
-2.028564,-0.941833,0.289795,-0.720445,-0.294516,-0.160618,-1.308120,-0.647318,0.450413,
-1.992340,-0.507141,-1.720657,-0.847634,-0.315778,-0.316622,-1.144706,-0.191363,-1.404036,
-1.068619,0.054337,-2.300247,-0.869733,-0.278767,-0.514984,-0.198886,0.333103,-1.785263,
-0.253571,0.289795,-2.245911,-0.808116,-0.221911,-0.688077,0.554546,0.511705,-1.557834,
0.543365,0.271683,-0.652039,-0.672968,-0.172551,-0.684473,1.216334,0.444234,0.032434,
0.507141,0.271683,0.235458,-0.554957,-0.128128,-0.592480,1.062098,0.399811,0.827938,
-0.253571,0.054337,1.050507,-0.524819,-0.109881,-0.428181,0.271248,0.164218,1.478688,
-1.104843,-0.181122,0.996170,-0.582821,-0.117005,-0.285746,-0.522022,-0.064116,1.281916,
-1.503311,-0.706375,0.688263,-0.674870,-0.175942,-0.188345,-0.828441,-0.530433,0.876608,
-2.082901,-1.213516,0.326019,-0.815673,-0.279700,-0.136909,-1.267228,-0.933816,0.462928,
-1.702545,-0.959946,-0.796936,-0.904360,-0.347724,-0.202911,-0.798185,-0.612221,-0.594025,
-0.996170,-0.760712,-1.376526,-0.913541,-0.389023,-0.320273,-0.082629,-0.371689,-1.056253,
-0.289795,-0.326019,-1.666321,-0.851167,-0.382723,-0.454878,0.561372,0.056703,-1.211443,
-0.271683,0.271683,-1.648209,-0.793218,-0.317282,-0.574211,0.521536,0.588965,-1.073998,
-0.253571,0.561478,-0.959946,-0.739254,-0.229406,-0.612784,0.485683,0.790884,-0.347161,
-0.344131,0.289795,0.470917,-0.699741,-0.177486,-0.504414,0.355610,0.467281,0.975331,
-0.235458,-0.217346,1.231628,-0.653313,-0.181472,-0.330810,0.417855,-0.035874,1.562438,
-0.688263,-0.724487,1.503311,-0.656808,-0.235774,-0.147398,-0.031455,-0.488714,1.650709,
-1.412750,-1.050507,1.304077,-0.732402,-0.317247,-0.002250,-0.680348,-0.733260,1.306327,
-2.209686,-0.815048,-0.054337,-0.880131,-0.367027,-0.007459,-1.329556,-0.448021,-0.046878,
-2.046677,-0.181122,-2.191574,-0.996785,-0.348437,-0.225870,-1.049891,0.167315,-1.965704,
-1.249741,0.036224,-2.209686,-1.022081,-0.309970,-0.424252,-0.227660,0.346195,-1.785434,
-0.054337,0.000000,-1.050507,-0.925306,-0.278973,-0.486877,0.870970,0.278973,-0.563629,
0.470917,0.018112,-0.235458,-0.785684,-0.249265,-0.461736,1.256601,0.267377,0.226277,
0.470917,0.072449,0.362244,-0.660024,-0.217093,-0.379338,1.130941,0.289542,0.741581,
-0.507141,0.054337,0.941833,-0.644736,-0.189950,-0.247221,0.137595,0.244287,1.189054,
-1.485199,-0.380356,1.104843,-0.728782,-0.208991,-0.112014,-0.756417,-0.171365,1.216857,
-1.919891,-0.796936,1.068619,-0.847893,-0.267786,0.006049,-1.071998,-0.529151,1.062570,
-1.648209,-0.887497,0.307907,-0.927925,-0.329757,0.036235,-0.720284,-0.557740,0.271672,
-0.796936,-0.796936,-1.032394,-0.914826,-0.376475,-0.070628,0.117890,-0.420461,-0.961766,
-0.778824,-0.652039,-1.430862,-0.901225,-0.404031,-0.206651,0.122402,-0.248008,-1.224211,
-0.597702,-0.579590,-1.285965,-0.870873,-0.421587,-0.314583,0.273171,-0.158003,-0.971382,
-0.525253,-0.018112,-1.448975,-0.836311,-0.381239,-0.428022,0.311058,0.363127,-1.020953,
-0.525253,0.869385,-0.959946,-0.805205,-0.256177,-0.481214,0.279952,1.125562,-0.478731,
-0.652039,1.267853,-0.579590,-0.789889,-0.103774,-0.491052,0.137850,1.371627,-0.088538,
-1.141068,0.670151,0.706375,-0.825007,-0.026382,-0.371309,-0.316061,0.696532,1.077684,
-1.358414,0.163010,0.869385,-0.878347,-0.007442,-0.247240,-0.480066,0.170452,1.116625,
-1.557648,-0.398468,1.376526,-0.946277,-0.046545,-0.084863,-0.611370,-0.351923,1.461389,
-1.358414,-0.905609,1.249741,-0.987491,-0.132451,0.048597,-0.370923,-0.773158,1.201143,
-1.159180,-1.104843,0.380356,-1.004660,-0.229691,0.081773,-0.154520,-0.875153,0.298583,
-0.851273,-0.887497,-1.267853,-0.989321,-0.295471,-0.053190,0.138049,-0.592026,-1.214663,
-0.380356,-0.326019,-1.774994,-0.928425,-0.298526,-0.225370,0.548069,-0.027493,-1.549624,
-0.416580,0.362244,-1.485199,-0.877240,-0.232449,-0.351353,0.460660,0.594693,-1.133846,
-0.742599,0.851273,-0.489029,-0.863776,-0.124077,-0.365120,0.121177,0.975349,-0.123908,
-1.032394,0.887497,0.452805,-0.880638,-0.022920,-0.283328,-0.151756,0.910416,0.736133,
-0.959946,0.543365,0.579590,-0.888569,0.033709,-0.197036,-0.071377,0.509656,0.776626,
-1.141068,-0.235458,0.978058,-0.913819,0.006792,-0.079527,-0.227249,-0.242251,1.057585,
-1.702545,-1.050507,1.358414,-0.992691,-0.098938,0.064267,-0.709854,-0.951569,1.294146,
-1.593872,-1.195404,0.000000,-1.052809,-0.208584,0.057841,-0.541063,-0.986820,-0.057841,
-0.996170,-0.597702,-1.304077,-1.047145,-0.247496,-0.078351,0.050975,-0.350206,-1.225726,
-0.597702,-0.235458,-1.430862,-1.002201,-0.246292,-0.213602,0.404499,0.010834,-1.217260,
-0.507141,0.670151,-1.630096,-0.952695,-0.154648,-0.355252,0.445554,0.824799,-1.274845,
-0.434692,0.923721,-0.724487,-0.900895,-0.046811,-0.392175,0.466202,0.970532,-0.332312,
-0.778824,0.760712,0.652039,-0.888688,0.033941,-0.287754,0.109864,0.726770,0.939793,
-1.448975,0.126785,1.539536,-0.944716,0.043226,-0.105025,-0.504258,0.083560,1.644561,
-1.503311,-0.688263,1.992340,-1.000576,-0.029923,0.104712,-0.502735,-0.658340,1.887629,
-1.086731,-0.978058,0.796936,-1.009191,-0.124737,0.173934,-0.077540,-0.853321,0.623002,
-0.416580,0.090561,-1.322189,-0.949930,-0.103207,0.024322,0.533350,0.193768,-1.346511,
-0.072449,0.036224,-1.630096,-0.862182,-0.089264,-0.141120,0.789733,0.125488,-1.488976,
0.018112,-0.380356,-1.014282,-0.774153,-0.118373,-0.228436,0.792265,-0.261983,-0.785846,
-0.289795,-0.833160,-0.633926,-0.725717,-0.189852,-0.268985,0.435922,-0.643309,-0.364941,
-0.144897,-0.815048,-0.670151,-0.667635,-0.252371,-0.309102,0.522737,-0.562677,-0.361049,
-0.199234,-0.706375,-0.833160,-0.620795,-0.297772,-0.361508,0.421561,-0.408603,-0.471653,
-0.163010,-0.778824,-0.760712,-0.575016,-0.345877,-0.401428,0.412007,-0.432947,-0.359284,
-0.126785,-0.688263,-0.543365,-0.530193,-0.380116,-0.415622,0.403408,-0.308147,-0.127744,
-0.126785,-0.724487,-0.652039,-0.489852,-0.414553,-0.439264,0.363067,-0.309935,-0.212775,
-0.090561,-0.724487,-0.507141,-0.449923,-0.445546,-0.446051,0.359362,-0.278941,-0.061090,
-0.181122,-0.796936,-0.543365,-0.423043,-0.480685,-0.455783,0.241921,-0.316251,-0.087583,
-0.072449,-0.760712,-0.452805,-0.387984,-0.508688,-0.455485,0.315535,-0.252024,0.002680,
-0.072449,-0.760712,-0.579590,-0.356430,-0.533890,-0.467895,0.283981,-0.226821,-0.111694,
-0.090561,-0.760712,-0.615814,-0.329843,-0.556572,-0.482687,0.239282,-0.204139,-0.133127,
-0.090561,-0.778824,-0.470917,-0.305915,-0.578798,-0.481510,0.215354,-0.200026,0.010593,
-0.163010,-0.760712,-0.561478,-0.291624,-0.596989,-0.489507,0.128615,-0.163723,-0.071971,
